"행정구역별(1)","특성별(1)",특성별(2),2008,2008,2008,2008,2008,2008,2010,2010,2010,2010,2010,2010,2012,2012,2012,2012,2012,2012,2014,2014,2014,2014,2014,2014,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018
"행정구역별(1)","특성별(1)",특성별(2),계,매우 일치,일치하는 편,보통,관계없는 편,전혀 관계 없음,계,매우 일치,일치하는 편,보통,관계없는 편,전혀 관계 없음,계,매우 일치,일치하는 편,보통,관계없는 편,전혀 관계 없음,계,매우 일치,일치하는 편,보통,관계없는 편,전혀 관계 없음,계,매우 일치,일치하는 편,보통,관계없는 편,전혀 관계 없음,계,매우 일치,일치하는 편,보통,관계없는 편,전혀 관계 없음
"전국","직업",기능노무,100.0,7.4,17.5,23.2,27.4,24.4,100.0,5.8,16.6,21.7,33.5,22.4,100.0,5.7,16.5,22.1,33.2,22.5,100.0,6.1,16.3,25.3,30.1,22.1,100.0,5.9,16.2,22.7,31.2,24.0,100.0,6.0,17.2,24.4,29.8,22.6
"전국","종사상의 지위",임금근로자,100.0,17.8,25.2,22.1,20.3,14.5,100.0,17.2,23.7,22.9,22.5,13.7,100.0,18.8,23.9,22.5,21.1,13.7,100.0,18.2,23.7,23.9,20.7,13.5,100.0,16.6,23.3,24.9,21.2,14.0,100.0,17.1,24.2,24.4,20.0,14.2
"전국","종사상의 지위",고용주,100.0,18.4,21.3,22.0,23.7,14.6,100.0,17.9,22.1,25.5,22.1,12.4,100.0,17.6,20.5,24.2,24.3,13.3,100.0,14.9,19.0,24.3,26.1,15.7,100.0,17.5,17.9,22.8,25.1,16.7,100.0,15.2,20.9,25.3,23.9,14.7
"전국","종사상의 지위",자영자,100.0,8.5,17.3,22.3,27.8,24.1,100.0,8.8,15.0,21.8,32.1,22.2,100.0,8.8,17.3,22.7,32.1,19.1,100.0,8.5,16.0,21.7,31.2,22.5,100.0,12.8,14.3,20.5,30.1,22.3,100.0,9.6,16.5,23.0,30.2,20.6
"전국","주관적 만족감",만족,100.0,20.7,26.2,22.2,19.1,11.7,100.0,20.6,26.1,23.0,20.5,9.8,100.0,20.5,26.8,22.3,20.1,10.4,100.0,19.5,24.9,24.7,19.9,11.0,100.0,19.9,23.7,25.0,20.1,11.3,100.0,19.9,24.7,25.0,19.3,11.0
"전국","주관적 만족감",보통,100.0,11.4,21.3,26.0,24.7,16.6,100.0,12.1,20.2,25.9,27.2,14.6,100.0,14.6,19.9,26.9,24.6,14.1,100.0,11.9,18.8,27.5,26.0,15.8,100.0,11.5,19.2,27.1,25.9,16.4,100.0,10.8,19.9,28.0,25.2,16.1
"전국","주관적 만족감",불만족,100.0,8.6,15.5,20.5,27.7,27.7,100.0,9.0,17.1,21.3,29.1,23.5,100.0,9.8,19.0,21.6,26.3,23.2,100.0,10.6,16.6,19.0,28.8,25.0,100.0,10.0,17.2,21.3,27.6,23.9,100.0,9.5,17.0,24.3,27.0,22.2
"전국","가구소득",100만원 미만,100.0,9.0,15.8,25.9,28.9,20.4,100.0,9.5,15.5,22.9,32.4,19.7,100.0,11.3,17.8,26.3,26.0,18.6,100.0,5.7,19.7,24.9,30.0,19.7,100.0,7.7,17.5,26.8,29.1,18.9,100.0,7.5,16.2,32.4,27.4,16.4
"전국","가구소득",100∼200만원 미만,100.0,9.9,17.2,24.3,27.1,21.4,100.0,8.7,16.9,23.2,31.7,19.6,100.0,10.6,19.0,22.7,28.1,19.6,100.0,10.7,16.0,26.6,27.0,19.7,100.0,9.3,16.8,27.0,27.8,19.0,100.0,9.5,17.4,28.7,27.9,16.6
"전국","가구소득",200∼300만원 미만,100.0,12.5,21.4,24.1,23.9,18.0,100.0,11.9,20.9,25.2,26.3,15.7,100.0,12.8,20.2,25.2,25.8,16.0,100.0,11.9,19.9,25.2,26.2,16.8,100.0,11.1,17.3,26.3,27.0,18.3,100.0,11.1,19.8,26.9,25.6,16.6
"전국","가구소득",300∼400만원 미만,100.0,14.2,25.7,24.1,22.0,14.0,100.0,13.0,25.2,24.2,24.8,12.9,100.0,15.3,23.1,24.5,23.2,13.9,100.0,13.4,22.3,27.5,23.0,13.8,100.0,14.8,20.3,25.1,25.0,14.8,100.0,12.4,22.2,26.1,23.3,16.1
