no,content,score,date
12145,가슴 먹먹해지는 영화 사랑하고 싶다,10,2016.12.26 08:38
12146,관람객       쫌 지루해서 처음에 졸았어요  음악이랑 보는 즐거움이 있어서 좋았습니다,7,2016.12.26 08:24
12147,영화보고 평점을 눌러주러 들어오긴 처음입니다 명작,10,2016.12.26 08:06
12148,관람객       엔딩보고찡 처음에는 별로,8,2016.12.26 07:46
12149,인생영화가 되었습니다,10,2016.12.26 07:00
12150,호불호가 갈리고 지루할 수 있다는것은 인정한다  하지만 어쩌라고 이거 10점 짜리 맞아,10,2016.12.26 06:21
12151,보는 순간 사랑에 빠질 수 밖에 없었다 이토록 행복하면서 슬픈 결말은 처음,10,2016.12.26 02:40
12152,내마음 속의 뮤지컬 멜로 영화 1위 물랑루즈를 위협할뻔 했네,10,2016.12.26 02:32
12153,현실과 판타지의 완벽한 조화 판타지로만 살기엔 너무 힘든 현실의 벽 그리고 꿈  꿈을 이루기 위해선 무엇 하나를 버려야 하는게 현실  마지막 장면이 말해준다 우린 모두 라라랜드를 갈수 있다는 희망과 꿈으로 산다는것을,10,2016.12.26 02:13
12154,수고했어 여기까지오느라 이미 너자체만으로도 빛나고 있어,9,2016.12.26 02:07
12155,서서히 밝아오는 여명  잠시 멈춘듯한 시간   앞으로 가야할 현실,10,2016.12.26 01:55
12156,관람객       지루한감이없지않아있지만 결말이좋은영화,8,2016.12.26 01:50
12157,영화를 자주보는데  근래 본 영화중 가장 로맨틱하고 슬프고 여운남고 아름답고 그런 영화였어요,10,2016.12.26 01:50
12158,결말이 좀 찜찜하지만 아주 재밌었움,8,2016.12.26 01:47
12159,인생 최고의 영화입니다  이런 영화를 볼 수 있다는것이 행운,10,2016.12.26 01:43
12160,화려하진 않지만 잔잔하니 볼 만 합니다,8,2016.12.26 01:43
12161,꿈과 사랑에 대해  음악과 아름다운 영상으로 풀어가는 동화같은 이야기 너무좋다,10,2016.12.26 01:32
12162,마지막 10분을 위한 우리 모든 청년들이 꿈을 위한 영화가 아닐가 생각한다,10,2016.12.26 01:31
12163,뮤지컬영화라 처음에 적응 못할까 걱정했는데 오히려 처음부터 끝까지 음악과 함께하는 느낌이라 지루하지 않고 좋았어요   음악도 좋고 영화에 나오는  배경도 정말 이쁘고 좋습니다    아직 보지 못하신 분들 꼭 보시라고 추천합니다,10,2016.12.26 01:23
12164,첫 초반부가 조금 뭐지 했지만 그걸 기다린 만큼 뒤에 진짜 가슴을 탁 치는 듯한 장면과 노래들이 너무 많았다   특히 마지막 둘이 만나는 장면은 와 어찌 설명할 수 없는 감동임,9,2016.12.26 01:16
12165,관람객       너무재밌었어요 노래 굳,8,2016.12.26 01:08
12166,관람객       라이언 고슬링 얼굴밖에 기억 안 나는 영화,6,2016.12.26 01:06
12167,초반엔 좀 지루했었다  뜬금없는 인도식 떼창에 현실과 상상이 정신없이 섞어서 산만한느낌이 컸는데  보다보니 묘미가 있었고 별들의 도시    가 너무 좋아서 빠져들었다  뻔하지 않으면서 애잔한 엔딩도 아주 좋았으며 배우들 연기가 참 매력적이고 예뻤다,9,2016.12.26 00:59
12168,아 너무 좋았어요 한국영화에선 볼수없는 영상미와 분위기 장르    무엇보다 감독님이 나이가 어리시고 영화 만든 경험도 적은데 이런대작을 만들어낼수가있는거죠 진짜 감독님 나이보고 놀랐어요 영화보는 내내 웃음이 끊이질않았어요 웃음짓고있는 나를 발견했어요,10,2016.12.26 00:57
12169,영화관 스크린 빛이 마치 한여름 태양빛 같던 영화,9,2016.12.26 00:53
12170,내내 꿈을꾸는것같다가 울컥     매끄럽게 흘러가는 스토리를 따라가다가 마지막에 탁 하고 감정이 터져버린다,10,2016.12.26 00:49
12171,관람객       꿈을 꾸는 사람들이 꿈을 잃어가는 이야기 꿈을 잃은 사람들이 다시 꿈을 찾는 이야기 그 사람들의 사랑이야기,8,2016.12.26 00:47
12172,노래는좋았는데마지막은뱔로였다끝엔답답해서속터지는줄알았고음악영화좋아하지만이건내인생통틀어최악의영화다,4,2016.12.26 00:42
12173,관람객       너무기대햇나봐,3,2016.12.26 00:31
12174,관람객       살짝 지루한부분도 있었지만 볼만했어요,8,2016.12.26 00:30
12175,관람객       뮤지컬을 보는거같앗어요,8,2016.12.26 00:27
12176,관람객       전부다 완벽했다 너무나 슬프고 아름다운 사랑이야기 그치만 리얼리티 그자체의 해피엔딩,10,2016.12.26 00:26
12177,관람객       순수하고 아름다운 영화,8,2016.12.26 00:22
12178,중간에 못본내용이있지만 재즈음악이 좋아지고 이해할수있게된다,8,2016.12.26 00:21
12179,관람객       오프닝 씬의 압도적인 느낌과 엔딩씬에서 주인공들의 섬세한 연기  최고였어요,10,2016.12.26 00:20
12180,관람객       오프닝부터 감동    영화관이라는 사실을 잊고 일어나서 박수칠 뻔 했다  뻔하지 않은 현실적인 결말도 좋았구 음악들이 너무 좋아서  재즈 사랑해요,8,2016.12.26 00:18
12181,관람객       한없이 가슴이 먹먹해지는 영화,10,2016.12.26 00:17
12182,난 항상 당신을 사랑할거야  내가 제일 행복하길 바라고 있을 사람  문득 그사람이 생각나는 영화였다  찬란했던 그 시절을 함께한  그리고 함께해서 더 빛났던  마음이 먹먹해지는 영화였다,10,2016.12.26 00:12
12183,관람객       영화 초반부에 나의 꿈을 이뤄주고 알아봐주는 사람이 있을까 라는 노래가 나오는데 끝나고 보니 이게 복선이었네요   결국 남녀 모두 꿈은 이뤘지만 마지막 10분은 너무 안타깝고 아련했어요   제뒤에 남자 통곡을 하던데,10,2016.12.26 00:10
12184,관람객       생각이 많아지는 영화네요  추천입니다,8,2016.12.26 00:10
12185,관람객       굿    역시 해외영화 클라스가죽임,10,2016.12.26 00:08
12186,관람객       현실에 부딪혀 잊고있었던 꿈이 생각나 마음이 아른거리는 그런 영화였어요 개인적으로 여자주인공이 마지막 오디션을 볼 때 이모가 한 말이 인상깊었어요,9,2016.12.26 00:07
12187,관람객       마지막 정말 가슴 뭉클했습니다 근데 살짝 졸리긴하네요,8,2016.12.26 00:05
12188,꿈꾸는 자는 이성과 만나지 말라  꿈과 이성을 선택해야하는 날이 올테니 현실적인 결과다,8,2016.12.26 00:02
12189,관람객       오늘 죽으면 내일 보러갈만한 영화,10,2016.12.25 23:58
12190,다미엔 차즐레 감독 영화는 앞으로 무조건 봐야겠네요,10,2016.12.25 23:57
12191,초속 5   이후로 또 한번의 먹먹함  그러나 숨막히듯 아름답다,10,2016.12.25 23:56
12192,관람객       처음에 응  재미없을것같아 라는 생각으로 보는데 뒤로갈수록 재밌어졌어요  이영화는 생각하는 영화에요  현실과 이상을 왔다갔다   나에게 현실은 이영화에서 이상이었으면 좋겠어요 그렇게 살고싶네요  즐겁게  좋은영화라고 저는 자부합니다,10,2016.12.25 23:55
